,date,file_name,time,target_is_broken,location
123,02-01-2024,SHOT0009,7.5,False,"(733.8952026367188, 238.03839111328125)"
124,02-01-2024,SHOT0009,8.0,False,"(1192.8802490234375, 454.89434814453125)"
125,02-01-2024,SHOT0009,8.5,False,"(1266.91259765625, 604.6912841796875)"
126,02-01-2024,SHOT0009,9.0,False,"(1229.552734375, 584.5538330078125)"
127,02-01-2024,SHOT0009,9.5,False,"(1170.384521484375, 561.9931640625)"
128,02-01-2024,SHOT0009,1.0,False,"(1331.312744140625, 638.8726806640625)"
129,02-01-2024,SHOT0009,10.0,False,"(1140.5054931640625, 588.8233032226562)"
130,02-01-2024,SHOT0009,10.5,False,"(1115.272705078125, 614.0234375)"
131,02-01-2024,SHOT0009,11.0,False,"(1116.07080078125, 616.1463623046875)"
132,02-01-2024,SHOT0009,11.5,False,"(1109.096435546875, 623.899169921875)"
133,02-01-2024,SHOT0009,12.0,True,"(931.0567626953125, 727.0989379882812)"
134,02-01-2024,SHOT0009,12.5,True,"(1129.546875, 689.4404907226562)"
135,02-01-2024,SHOT0009,13.0,True,"(1229.052001953125, 674.089599609375)"
136,02-01-2024,SHOT0009,1.5,False,"(1219.8935546875, 669.663818359375)"
137,02-01-2024,SHOT0009,2.0,False,"(1156.51171875, 653.7970581054688)"
138,02-01-2024,SHOT0009,2.5,False,"(1094.951416015625, 655.9464111328125)"
139,02-01-2024,SHOT0009,3.0,False,"(973.5935668945312, 738.12060546875)"
140,02-01-2024,SHOT0009,3.5,True,"(909.18017578125, 788.49462890625)"
141,02-01-2024,SHOT0009,4.0,True,"(1123.481201171875, 776.8928833007812)"
142,02-01-2024,SHOT0009,4.5,True,"(2279.9169921875, 423.4990539550781)"
143,02-01-2024,SHOT0010,0.0,False,"(1548.81689453125, 539.7171020507812)"
144,02-01-2024,SHOT0010,0.5,False,"(1385.0792236328125, 731.455078125)"
145,02-01-2024,SHOT0010,5.0,False,0
146,02-01-2024,SHOT0010,5.5,False,0
147,02-01-2024,SHOT0010,6.0,False,0
148,02-01-2024,SHOT0010,6.5,False,0
149,02-01-2024,SHOT0010,7.0,True,"(374.0110778808594, 337.7767333984375)"
150,02-01-2024,SHOT0010,7.5,False,"(989.1478271484375, 436.00042724609375)"
151,02-01-2024,SHOT0010,8.0,False,"(1327.738525390625, 609.4617919921875)"
152,02-01-2024,SHOT0010,8.5,False,"(1348.3231201171875, 660.0996704101562)"
153,02-01-2024,SHOT0010,9.0,False,"(1280.49658203125, 630.57958984375)"
154,02-01-2024,SHOT0010,9.5,False,"(1203.741455078125, 623.8260498046875)"
155,02-01-2024,SHOT0010,1.0,False,"(1294.973876953125, 721.0482177734375)"
156,02-01-2024,SHOT0010,10.0,False,"(1161.10986328125, 621.6058349609375)"
157,02-01-2024,SHOT0010,10.5,False,"(1107.78369140625, 618.7547607421875)"
158,02-01-2024,SHOT0010,11.0,False,0
159,02-01-2024,SHOT0010,11.5,True,"(1183.074462890625, 490.55267333984375)"
160,02-01-2024,SHOT0010,12.0,False,"(1754.94970703125, 1021.1887817382812)"
161,02-01-2024,SHOT0010,1.5,False,"(1291.992431640625, 673.4599609375)"
162,02-01-2024,SHOT0010,2.0,False,"(1247.10693359375, 665.6376953125)"
163,02-01-2024,SHOT0010,2.5,False,"(1172.92626953125, 717.616943359375)"
164,02-01-2024,SHOT0010,3.0,False,"(978.8951416015625, 896.063720703125)"
165,02-01-2024,SHOT0010,3.5,False,"(854.1351318359375, 794.0299682617188)"
166,02-01-2024,SHOT0010,4.0,False,"(1525.6351318359375, 574.4693603515625)"
167,02-01-2024,SHOT0010,4.5,False,"(2521.983642578125, 495.5985107421875)"
168,02-01-2024,SHOT0011,0.0,False,"(1573.864990234375, 289.167724609375)"
169,02-01-2024,SHOT0011,0.5,False,"(1541.843505859375, 451.9079895019531)"
170,02-01-2024,SHOT0011,5.0,False,0
171,02-01-2024,SHOT0011,5.5,False,0
172,02-01-2024,SHOT0011,6.0,False,0
173,02-01-2024,SHOT0011,6.5,False,"(946.6041259765625, 707.5640869140625)"
174,02-01-2024,SHOT0011,7.0,False,"(1488.823974609375, 688.343994140625)"
175,02-01-2024,SHOT0011,7.5,False,"(1622.823974609375, 693.0814208984375)"
176,02-01-2024,SHOT0011,8.0,False,"(1334.394287109375, 664.4891357421875)"
177,02-01-2024,SHOT0011,8.5,True,"(1115.231689453125, 669.5514526367188)"
178,02-01-2024,SHOT0011,9.0,True,"(1792.5169677734375, 1133.49462890625)"
179,02-01-2024,SHOT0011,9.5,True,"(1028.264892578125, 1167.10107421875)"
180,02-01-2024,SHOT0011,1.0,False,"(1376.77783203125, 586.2980346679688)"
181,02-01-2024,SHOT0011,10.0,True,"(1955.683349609375, 1054.697265625)"
182,02-01-2024,SHOT0011,10.5,True,"(2107.1142578125, 922.7487182617188)"
183,02-01-2024,SHOT0011,11.0,False,0
184,02-01-2024,SHOT0011,1.5,False,"(1269.797607421875, 658.1990966796875)"
185,02-01-2024,SHOT0011,2.0,False,"(1198.109619140625, 674.35546875)"
